ville,temperature_C,humidite_pourcent,pression_hPa,vitesse_vent_m_s,conditions_meteo
1,17.92,59,1024,4.12,clear sky
2,5.59,97,993,5.66,light rain
3,21.34,45,1014,1.67,clear sky
4,14.14,63,1024,7.15,overcast clouds
5,13.21,93,1019,1.54,mist
6,12.81,43,1017,0.45,broken clouds
7,12.53,69,1019,0.89,broken clouds
8,13.52,55,1022,5.14,clear sky
9,25.18,40,1023,0.89,scattered clouds
10,18.59,40,1024,1.54,few clouds
11,24.78,75,1020,4.12,scattered clouds
12,9.63,49,1017,5.14,clear sky
13,11.43,59,1027,1.34,clear sky
14,10.51,58,1026,4.63,few clouds
15,9.85,68,1025,2.57,clear sky
16,10.57,95,1021,4.12,moderate rain
17,14.06,61,1026,0.89,few clouds
18,23.81,60,1021,0.89,scattered clouds
19,19.74,42,1024,3.09,clear sky
20,14.14,54,1022,4.92,clear sky
21,13.76,60,1018,3.09,few clouds
22,8.48,68,1024,3.6,broken clouds
23,7.23,74,1025,0.89,broken clouds
24,21.39,61,1022,0.0,clear sky
25,10.67,76,1025,0.89,overcast clouds
26,6.86,68,1017,0.45,broken clouds
27,10.53,64,1021,5.14,light rain
28,15.72,58,1019,1.69,clear sky
29,13.19,68,1017,0.89,scattered clouds
30,12.85,62,1021,2.24,clear sky
31,9.5,62,1015,2.24,clear sky
32,10.93,80,1019,4.12,light rain
33,16.43,47,1024,2.68,few clouds
34,7.28,82,1016,1.54,clear sky
35,11.11,59,1025,3.6,clear sky
36,14.84,85,1017,6.17,thunderstorm
37,15.5,71,1010,8.75,light rain
38,10.95,66,1023,6.17,broken clouds
39,13.84,65,1018,2.06,overcast clouds
40,18.18,39,1024,3.6,clear sky
41,7.51,70,1017,3.09,clear sky
42,13.56,50,1026,2.06,broken clouds
43,26.69,75,1017,4.63,broken clouds
44,11.15,63,1020,0.89,clear sky
45,9.0,89,1017,1.7,light rain
46,15.46,46,1023,3.6,few clouds
47,13.55,93,1006,6.69,moderate rain
48,21.43,49,1023,3.09,clear sky
49,7.38,65,1027,2.24,clear sky
50,11.43,38,1018,2.68,few clouds
51,14.03,50,1023,5.14,few clouds
